user_id,gender,age,married,has_children,home_airport,session_duration_mins,page_clicks,flight_booked,hotel_booked,flight_discount,flight_discount_amount,hotel_discount,hotel_discount_amount,cancellation,seats,checked_bags,base_fare_usd,nights,rooms,hotel_per_room_usd,flight_distance_km,trip_id,session_id,discounted_flight_proportion,discounted_hotel_proportion,checked_bags_proportion,bargain_hunter_index,hotel_booked_proportion,flight_booked_proportion,cancellation_rate,booking_rate,avg_flight_distance
181157,F,54.0,1,0,HOU,13.57,110,2,2,1,0.03,1,0.02,0,2.0,1.0,71.91,3.0,2.0,46.14,415.36,3,7,0.5,0.5,0.5,0.5,0.67,0.67,0.0,0.43,207.68
182191,F,19.0,0,1,PHX,8.43,68,0,0,0,0.0,1,0.01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0
187212,F,55.0,1,1,LAX,15.84,128,3,3,1,0.05,1,0.01,0,3.0,2.0,155.32,6.0,3.0,81.5,877.02,4,8,0.33,0.33,0.67,0.33,0.75,0.75,0.0,0.5,292.34
189676,F,36.0,0,1,FTW,8.09,65,0,1,1,0.02,0,0.0,0,0.0,0.0,0.0,13.0,1.0,29.57,0.0,2,7,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.29,0.0
190866,F,37.0,0,0,TLH,23.08,186,5,5,0,0.0,1,0.01,0,5.0,2.0,231.22,10.0,5.0,94.0,1260.86,6,9,0.0,0.2,0.4,0.1,0.83,0.83,0.0,0.67,252.17
195192,F,28.0,0,0,MDW,10.69,87,1,1,0,0.0,1,0.01,0,2.0,0.0,56.33,1.0,2.0,22.86,167.77,2,7,0.0,1.0,0.0,0.5,0.5,0.5,0.0,0.29,167.77
204943,M,41.0,0,0,YOW,16.77,136,5,5,2,0.05,0,0.0,0,7.0,3.0,241.13,28.0,7.0,155.17,1152.19,6,6,0.4,0.0,0.6,0.2,0.83,0.83,0.0,1.0,230.44
204997,F,39.0,1,0,MCI,9.3,75,2,1,0,0.0,1,0.02,0,2.0,1.0,97.69,4.0,1.0,14.2,508.9,3,5,0.0,1.0,0.5,0.5,0.33,0.67,0.0,0.6,254.45
205044,F,41.0,1,1,YKZ,11.63,94,2,2,1,0.01,0,0.0,0,3.0,1.0,97.14,6.0,3.0,78.88,509.56,3,8,0.5,0.0,0.5,0.25,0.67,0.67,0.0,0.38,254.78
206011,F,40.0,0,1,MCI,19.48,156,4,3,1,0.01,2,0.05,0,4.0,1.0,130.82,9.0,3.0,42.5,736.78,5,8,0.25,0.67,0.25,0.46,0.6,0.8,0.0,0.62,184.19
216796,F,23.0,0,0,CVG,6.09,49,0,0,2,0.04,1,0.02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0
217114,O,20.0,1,1,LGB,7.48,59,0,0,1,0.01,3,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0
217136,F,39.0,0,1,LIT,13.25,106,1,2,2,0.04,0,0.0,0,1.0,0.0,67.45,4.0,2.0,59.12,358.42,3,8,2.0,0.0,0.0,1.0,0.67,0.33,0.0,0.38,358.42
220725,F,41.0,0,0,SCK,22.33,180,4,3,1,0.02,1,0.01,0,4.0,1.0,247.27,11.0,3.0,48.75,1444.64,5,8,0.25,0.33,0.25,0.29,0.6,0.8,0.0,0.62,361.16
224996,F,43.0,0,1,YHZ,12.61,102,2,1,0,0.0,1,0.01,0,2.0,0.0,112.2,1.0,1.0,28.88,588.25,3,8,0.0,1.0,0.0,0.5,0.33,0.67,0.0,0.38,294.13
226367,F,43.0,0,0,IAD,14.08,114,3,3,1,0.01,0,0.0,0,4.0,2.0,111.15,5.0,4.0,94.88,620.93,4,8,0.33,0.0,0.67,0.17,0.75,0.75,0.0,0.5,206.98
228195,F,27.0,0,1,LAX,14.37,116,0,0,1,0.02,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0
228872,M,35.0,0,0,RND,15.75,126,1,2,1,0.04,0,0.0,0,1.0,1.0,63.65,13.0,2.0,23.5,346.28,3,8,1.0,0.0,1.0,0.5,0.67,0.33,0.0,0.38,346.28
